"score","prior_percent_correct","prior_prob_count","hints"
1,0.541383719568632,74,0
1,0.434844175332319,73,0
1,0.311097187095985,0,5
1,0.621492153983288,0,54
1,0.334903901424758,7,3
1,0.539225671521258,48,0
1,0.602272298726019,982,0
1,0.501003035370754,0,6
1,0.714841403250377,403,0
1,0.352060389805934,0,8
1,0.386462795393752,0,15
1,0.597015045653147,98,3
1,0.539800281793802,0,5
1,0.612002224655829,1372,0
1,0.318051835898528,0,52
1,0.512587771555051,92,36
1,0.612465257381828,120,2
1,0.495314819088821,1206,0
1,0.446775165263713,1418,1
1,0.519322363096347,0,5
1,0.480416855018267,29,0
1,0.417683066366877,1159,0
1,0.543842015568606,96,2
1,0.653863700958688,1081,0
1,0.548021282086267,481,0
1,0.634910603930536,399,0
1,0.4538676448125,399,0
1,0.569490769712425,0,0
1,0.355851085761074,0,0
1,0.706553430560559,399,5
1,0.430782806147675,143,2
1,0.302156422710152,0,2
1,0.474164621128343,0,2
1,0.393490229917177,26,0
1,0.440081728334901,0,0
1,0.537373554438973,0,0
1,0.406829023813307,0,0
1,0.623964614853352,0,0
1,0.379821979059302,0,18
1,0.44994391143693,1271,0
1,0.461618249958914,0,0
1,0.556079868500842,146,13
1,0.538641154969579,293,10
1,0.512937992835559,122,0
1,0.667885657312454,0,5
1,0.412195797637957,409,0
1,0.433258541248674,98,0
1,0.624630438238348,1206,0
1,0.38046666132323,130,1
1,0.392534481202527,9,9
1,0.317732310113557,0,0
1,0.536621049590779,95,0
1,0.427899639449961,12,0
1,0.499864133198918,401,0
1,0.443771953282605,0,0
1,0.497244766587307,0,0
1,0.518647284561849,0,0
1,0.489737126864108,0,1
1,0.56519721037378,0,0
1,0.597474047750432,0,0
1,0.419642305122485,0,0
1,0.523479088618833,700,18
1,0.450248834414039,90,0
1,0.61070280430731,114,1
1,0.451782969568098,401,1
1,0.293038242219232,112,0
1,0.677451400180405,60,0
1,0.350139919846445,0,0
1,0.424553714566027,29,1
1,0.425631573337951,487,0
1,0.480696977684381,0,4
1,0.532513660330522,98,0
1,0.544351304799312,120,0
1,0.497855017536129,0,54
1,0.323963880029876,76,5
1,0.506750464706423,106,9
1,0.756906840133134,393,17
